DENOMINAZIONE,INDIRIZZO,COMUNE,LOCALITA,SITO WEB,_INDIRIZZO,Position,APERTO
SCAVI DI STABIAE,Via Passeggiata Archeologica,Castellammare di Stabia (NA) - 80053, ,,"Italia, Castellammare di Stabia (NA) - 80053, Via Passeggiata Archeologica","40.7035661,14.4991744",SI
TEATRO ELLENISTICO ROMANO,Via Foce,Sarno (SA), , http://www.archeosa.beniculturali.it/,"Italia, Sarno (SA), Via Foce","40.8184659,14.5807947",SI
TEATRO ROMANO DI BENEVENTO,Piazza Ponzio Telesino,Benevento (BN) - 82100, ,http://www.archeosa.beniculturali.it/?center=sito&id_sito=18,"Italia, Benevento (BN) - 82100, Piazza Ponzio Telesino","41.1297613,14.7826208",SI
TEATRO ROMANO DI ERCOLANO,Corso Resina,Ercolano (NA) - 80056, ,,"Italia, Ercolano (NA) - 80056, Corso Resina","40.8039741,14.3510823",SI
TEATRO ROMANO DI MISENO,Via Sacello degli Augustali,Bacoli (NA) - 80070,Miseno,http://www.archeona.beniculturali.it,"Italia, Bacoli (NA) - 80070, Via Sacello degli Augustali","40.7872802,14.083709",SI
TEATRO ROMANO DI TEANO,Via S. Antonio Abate,Teano (CE) - 81057, ,http://www.archeosa.beniculturali.it/?center=sito&id_sito=47,"Italia, Teano (CE) - 81057, Via S. Antonio Abate","41.249438,14.068417",SI
TEMPIO C.D. DI DIANA,Piazzetta Alcide De Gasperi,Bacoli (NA) - 80070,Baia,http://sbanap.campaniabeniculturali.it,"Italia, Bacoli (NA) - 80070, Piazzetta Alcide De Gasperi","40.7948004,14.0685261",SI
VILLA DEI PAPIRI,Via Villa dei Papiri Ercolanesi,Ercolano (NA) - 80056, , ,"Italia, Ercolano (NA) - 80056, Via Villa dei Papiri Ercolanesi","40.8079195,14.3481628",SI
VILLA DI ARIANNA,Località Varano,Castellammare di Stabia (NA) - 80053,Varano,www.pompeiisites.org/,"Italia, Castellammare di Stabia (NA) - 80053, Località Varano","40.6974703,14.491573",SI
VILLA DI POPPEA - OPLONTIS,Via Sepolcri,Torre Annunziata (NA) - 80058, ,http://www.pompeiisites.org,"Italia, Torre Annunziata (NA) - 80058, Via Sepolcri","40.7604372,14.4536437",SI
VILLA FLORIDIANA,"via Cimarosa, 77 / via Aniello Falcone, 171",Napoli (NA) - 80127, ,,"Italia, Napoli (NA) - 80127, via Cimarosa, 77 / via Aniello Falcone, 171","40.84256999999999,14.22924",SI
VILLA PIGNATELLI,"Riviera di Chiaia, 200",Napoli (NA) - 80121, ,,"Italia, Napoli (NA) - 80121, Riviera di Chiaia, 200","40.83363,14.23249",SI
VILLA REGINA,"Via Settetermini, 15",Boscoreale (NA) - 80041,Villa Regina,http://www.pompeiisites.org,"Italia, Boscoreale (NA) - 80041, Via Settetermini, 15","40.77042,14.47984",SI
VILLA ROMANA CD. SECONDO COMPLESSO,Località Varano,Castellammare di Stabia (NA) - 80053,Varano,http://www.pompeiisites.org,"Italia, Castellammare di Stabia (NA) - 80053, Località Varano","40.6974703,14.491573",SI
VILLA SAN MARCO,Località Varano,Castellammare di Stabia (NA) - 80053,Varano,http://www.pompeiisites.org,"Italia, Castellammare di Stabia (NA) - 80053, Località Varano","40.6974703,14.491573",SI
ABBAZIA DI POMPOSA E MUSEO POMPOSIANO,Via Pomposa Centro,Codigoro (FE) - 44021,Pomposa,http://www.emiliaromagna.beniculturali.it/index.php?it/260/i-luoghi-della-cultura-in-emilia-,"Italia, Codigoro (FE) - 44021, Via Pomposa Centro","44.83125219999999,12.1094403",SI
ANTICA SPEZIERIA DI SAN GIOVANNI EVANGELISTA,"Borgo Pipa, 1",Parma (PR) - 43121, ,http://www.parmabeniartistici.beniculturali.it/altri-luoghi/antica-spezieria-di-san-giovanni,"Italia, Parma (PR) - 43121, Borgo Pipa, 1","44.80295710000001,10.3318869",SI
AREA ARCHEOLOGICA E ANTIQUARIUM DI VELEIA,Strada Provinciale,Lugagnano Val d'Arda (PC) - 29020,Veleia Romana,http://www.archeobologna.beniculturali.it/veleia/index.htm,"Italia, Lugagnano Val d'Arda (PC) - 29020, Strada Provinciale","44.8246297,9.832038599999999",SI
AREA SCAVI DELLA CITTÀ ETRUSCA DI SPINA,Località Spina (Valle del Mezzano),Comacchio (FE) - 34018, ,http://www.archeobologna.beniculturali.it/Ferrara/area.htm,"Italia, Comacchio (FE) - 34018, Località Spina (Valle del Mezzano)","44.6584429,12.2429892",SI
BASILICA DI SANT' APOLLINARE IN CLASSE,Via Romea Sud,Ravenna (RA) - 48124,Classe,http://www.soprintendenzaravenna.beniculturali.it/index.php?it/133/santapollinare-in-classe,"Italia, Ravenna (RA) - 48124, Via Romea Sud","44.3865042,12.2251382",SI
BATTISTERO DEGLI ARIANI,Piazzetta Ariani,Ravenna (RA) - 48121,Ravenna,http://www.soprintendenzaravenna.beniculturali.it/index.php?it/131/battistero-degli-ariani,"Italia, Ravenna (RA) - 48121, Piazzetta Ariani","44.4188384,12.2023766",SI
CAMERA DI SAN PAOLO,"Via Macedonio Melloni, 3/a",Parma (PR) - 43121, ,http://www.gallerianazionaleparma.it/,"Italia, Parma (PR) - 43121, Via Macedonio Melloni, 3/a","44.80409,10.32853",SI
CASA PASCOLI,"Via G. Pascoli, 46",San Mauro Pascoli (FC) - 47030,San Mauro Pascoli,http://www.casapascoli.it,"Italia, San Mauro Pascoli (FC) - 47030, Via G. Pascoli, 46","44.1051837,12.4155912",SI
"CASTELLO DI CANOSSA E MUSEO NAZIONALE \""NABORRE CAMPANINI\",Via Castello,Canossa (RE) - 42026, ,http://www.castellodicanossa.it/,"Italia, Canossa (RE) - 42026, Via Castello","44.5952261,10.4114603",SI
CASTELLO DI TORRECHIARA,Via al Castello 1,Langhirano (PR) - 43013,Torrechiara,http://www.sbap-pr.beniculturali.it/index.php?it/130/castello-di-torrechiara-langhirano-pr,"Italia, Langhirano (PR) - 43013, Via al Castello 1","44.6416055,10.3052356",SI
CASTELLO MALASPINA DAL VERME,"Strada del Torrino, 5",Bobbio (PC) - 29022, ,http://www.sbap-pr.beniculturali.it/index.php?it/131/castello-malaspina-bobbio-pc,"Italia, Bobbio (PC) - 29022, Strada del Torrino, 5","44.768873,9.383882",SI
CELLA DI SANTA CATERINA,Presso Giardino di San Paolo,Parma (PR) - 43100, ,,"Italia, Parma (PR) - 43100, Presso Giardino di San Paolo","44.801485,10.3279036",SI
FORNACI ROMANE DI CA' TURCI,Località Cà Turci,Cesenatico (FC) - 33020, ,http://www.archeobologna.beniculturali.it/cesenatico_fornaci/fornaci_romane.htm,"Italia, Cesenatico (FC) - 33020, Località Cà Turci","44.200847,12.4052023",SI
GALLERIA NAZIONALE DI PARMA,"Piazza della Pilotta, 15",Parma (PR) - 43121, ,http://www.gallerianazionaleparma.it,"Italia, Parma (PR) - 43121, Piazza della Pilotta, 15","44.804879,10.3261348",SI
IMPIANTO PORTUALE TARDO-ROMANO E BASILICA DI SAN SEVERO (CLASSE),Via Marabina 8,Ravenna (RA) - 48100,Classe,http://www.archeobo.arti.beniculturali.it/classe/index.htm,"Italia, Ravenna (RA) - 48100, Via Marabina 8","44.39362999999999,12.27094",SI
MAUSOLEO DI TEODORICO,Via delle Industrie,Ravenna (RA) - 48122,Ravenna,http://www.soprintendenzaravenna.beniculturali.it/index.php?it/130/mausoleo-di-teoderico,"Italia, Ravenna (RA) - 48122, Via delle Industrie","44.4280969,12.2176443",SI
MUSEO ARCHEOLOGICO NAZIONALE DI FERRARA,Via XX Settembre n. 122,Ferrara (FE) - 44100, ,http://www.archeoferrara.beniculturali.it,"Italia, Ferrara (FE) - 44100, Via XX Settembre n. 122","44.8274279,11.6273063",SI
MUSEO ARCHEOLOGICO NAZIONALE DI PARMA,Piazza della Pilotta,Parma (PR) - 43100, ,http://www.archeobologna.beniculturali.it/Parma/index.htm,"Italia, Parma (PR) - 43100, Piazza della Pilotta","44.8046119,10.3266048",SI
MUSEO ARCHEOLOGICO NAZIONALE DI SARSINA,"Via Cesio Sabino, 39",Sarsina (FC) - 47027, ,http://www.archeobologna.beniculturali.it/Sarsina/index.htm,"Italia, Sarsina (FC) - 47027, Via Cesio Sabino, 39","43.9196317,12.1439817",SI
MUSEO DI CASA ROMEI,Via Savonarola,Ferrara (FE) - 44100,Ferrara,http://www.soprintendenzaravenna.beniculturali.it/index.php?it/128/museo-di-casa-romei,"Italia, Ferrara (FE) - 44100, Via Savonarola","44.833519,11.6257796",SI
MUSEO LAPIDARIO ESTENSE,Piazza S. Agostino,Modena (MO) - 41100, ,http://www.spsae-mo.beniculturali.it,"Italia, Modena (MO) - 41100, Piazza S. Agostino","44.6468534,10.9210493",SI
MUSEO NAZIONALE DI RAVENNA,Via San Vitale,Ravenna (RA) - 48121,Ravenna,http://www.soprintendenzaravenna.beniculturali.it,"Italia, Ravenna (RA) - 48121, Via San Vitale","44.419826,12.1966712",SI
"MUSEO NAZIONALE ETRUSCO \""POMPEO ARIA\"" ED AREA ARCHEOLOGICA",Via Porrettana Sud 13,Marzabotto (BO) - 40043, ,http://www.archeobologna.beniculturali.it/Marzabotto/index.htm,"Italia, Marzabotto (BO) - 40043, Via Porrettana Sud 13","44.3364948,11.203741",SI
NECROPOLI ROMANA DI VOGHENZA,Via Dante Alighieri,Voghiera (FE) - 44019,Voghenza,http://www.archeobologna.beniculturali.it/Ferrara/area.htm,"Italia, Voghiera (FE) - 44019, Via Dante Alighieri","44.7665804,11.7542375",SI
PALAZZO DI TEODORICO,"Via di Roma, angolo via Alberoni",Ravenna (RA) - 48121,Ravenna,http://www.soprintendenzaravenna.beniculturali.it/index.php?it/132/palazzo-di-teoderico,"Italia, Ravenna (RA) - 48121, Via di Roma, angolo via Alberoni","44.4174598,12.2038591",SI
PALAZZO DUCALE DI SASSUOLO,Piazzale della Rosa,Sassuolo (MO) - 41049,Sassuolo,http://www.spsae-mo.beniculturali.it,"Italia, Sassuolo (MO) - 41049, Piazzale della Rosa","44.5423208,10.7803854",SI
PALAZZO MILZETTI - MUSEO NAZIONALE DELL'ETÀ NEOCLASSICA IN ROMAGNA,Via Tonducci,Faenza (RA) - 48018, ,http://www.palazzomilzetti.jimdo.com,"Italia, Faenza (RA) - 48018, Via Tonducci","44.2851721,11.8782357",SI
PINACOTECA NAZIONALE DI BOLOGNA,Via delle Belle Arti 56,Bologna (BO) - 40126, ,http://www.pinacotecabologna.beniculturali.it,"Italia, Bologna (BO) - 40126, Via delle Belle Arti 56","44.49762,11.35359",SI
PINACOTECA NAZIONALE DI BOLOGNA IN PALAZZO PEPOLI CAMPOGRANDE,Via Castiglione,Bologna (BO) - 40124, ,http://www.pinacotecabologna.beniculturali.it,"Italia, Bologna (BO) - 40124, Via Castiglione","44.4896525,11.347228",SI
PINACOTECA NAZIONALE DI FERRARA,Corso Ercole I d’Este 21 (Palazzo Diamanti),Ferrara (FE) - 44121, ,http://www.pinacotecaferrara.it,"Italia, Ferrara (FE) - 44121, Corso Ercole I d’Este 21 (Palazzo Diamanti)","44.8420894,11.6212295",SI
RESTI DELLA CITTÀ ROMANA DI MEVANIOLA,Via Borgo,Galeata (FC) - 47010,Pianetto,http://www.archeobologna.beniculturali.it/galeata/mevaniola.htm,"Italia, Galeata (FC) - 47010, Via Borgo","43.9963518,11.9101194",SI
TEATRO FARNESE,"Piazzale della Pilotta, 15",Parma (PR) - 43121, ,http://www.gallerianazionaleparma.it/,"Italia, Parma (PR) - 43121, Piazzale della Pilotta, 15","44.804879,10.3261348",SI
VILLA ROMANA DI RUSSI,Via Fiumazzo,Russi (RA) - 48026, ,http://www.archeobologna.beniculturali.it/russi/index.htm,"Italia, Russi (RA) - 48026, Via Fiumazzo","44.38482399999999,12.0321725",SI
MUSEO ARCHEOLOGICO NAZIONALE,"Piazza del Duomo, 13",Cividale del Friuli (UD) - 33100,Cividale del Friuli,,"Italia, Cividale del Friuli (UD) - 33100, Piazza del Duomo, 13","46.110478,12.904816",SI
MUSEO ARCHEOLOGICO NAZIONALE,"Via Roma, 1",Aquileia (UD) - 33051,Aquileia,http://www.museoarcheologicoaquileia.beniculturali.it/,"Italia, Aquileia (UD) - 33051, Via Roma, 1","45.767373,13.367197",SI
MUSEO STORICO DEL CASTELLO DI MIRAMARE,Viale Miramare,Trieste (TS) - 34151,Trieste,http://www.castello-miramare.it,"Italia, Trieste (TS) - 34151, Viale Miramare","45.7049228,13.7115655",SI
PARCO DEL CASTELLO DI MIRAMARE,Viale Miramare,Trieste (TS) - 34151,Trieste,http://www.castello-miramare.it,"Italia, Trieste (TS) - 34151, Viale Miramare","45.7049228,13.7115655",SI
ABBAZIA DI CASAMARI, ,Veroli (FR) - 03029, ,http://www.sbap-lazio.beniculturali.it/index.php?option=com_content&view=article&id=156&Itemid=13,"Italia, Veroli (FR) - 03029,  ","41.6960182,13.4128915",SI
ABBAZIA DI FOSSANOVA,Via S. Tommaso D'Aquino,Priverno (LT) - 04015, ,http://www.abbaziadifossanova.it/,"Italia, Priverno (LT) - 04015, Via S. Tommaso D'Aquino","41.469922,13.1832534",SI
ABBAZIA DI MONTECASSINO, ,Cassino (FR) - 03043, ,http://www.montecassino.it,"Italia, Cassino (FR) - 03043,  ","41.4907889,13.8333776",SI
ABBAZIA DI TRISULTI,Via Trisulti,Collepardo (FR) - 03010, ,,"Italia, Collepardo (FR) - 03010, Via Trisulti","41.7642537,13.3708513",SI
ANFITEATRO FLAVIO - COLOSSEO,"Piazza del Colosseo, 1",Roma (RM) - 00184, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00184, Piazza del Colosseo, 1","41.8900513,12.4940959",SI [nota 1]
ANFITEATRO ROMANO,"Via Cassia km 49,00",Sutri (VT) - 01015, ,,"Italia, Sutri (VT) - 01015, Via Cassia km 49,00","42.250399,12.290622",SI
ANTIQUARIUM DI PYRGI E AREA ARCHEOLOGICA,Località Castello di Santa Severa,Santa Marinella (RM) - 00058, ,,"Italia, Santa Marinella (RM) - 00058, Località Castello di Santa Severa","42.0165652,11.9574859",SI
AREA ARCHEOLOGICA ANTICA CITTÀ DI FERENTO,S.P. Teverina Km. 8.000,Viterbo (VT) - 01100, ,,"Italia, Viterbo (VT) - 01100, S.P. Teverina Km. 8.000","42.4206766,12.107669",SI
AREA ARCHEOLOGICA DI LUCUS FERONIAE E MUSEO ARCHEOLOGICO,"Via Tiberina, Km. 18.500",Capena (RM) - 00060, ,,"Italia, Capena (RM) - 00060, Via Tiberina, Km. 18.500","42.0971084,12.5765308",SI
AREA ARCHEOLOGICA DI VEIO - SANTUARIO ETRUSCO DELL'APOLLO,Via Riserva Campetti,Roma (RM) - 00123,Isola Farnese (Portonaccio),,"Italia, Roma (RM) - 00123, Via Riserva Campetti","42.0210807,12.3888035",SI
AREA ARCHEOLOGICA DI VILLA ADRIANA,Largo Marguerite Yourcenar,Tivoli (RM) - 00010,Villa Adriana,http://www.villaadriana.beniculturali.it,"Italia, Tivoli (RM) - 00010, Largo Marguerite Yourcenar","41.959817,12.8022261",SI
AREA DEL FORO E DOMUS PRIVATAE DELLA CITTÀ ROMANA DI VOLSINII,"Località Poggio Moscini, Via Orvietana",Bolsena (VT) - 01023, ,,"Italia, Bolsena (VT) - 01023, Località Poggio Moscini, Via Orvietana","42.6442035,11.9864377",SI
AULA OTTAGONALE DELLE TERME DI DIOCLEZIANO (EX PLANETARIO),"Via Romita, 8",Roma (RM) - 00186, ,,"Italia, Roma (RM) - 00186, Via Romita, 8","41.9036118,12.4959953",SI
BASILICA DI S. FRANCESCO ALLA ROCCA,Piazza San Francesco alla Rocca,Viterbo (VT) - 01100, ,,"Italia, Viterbo (VT) - 01100, Piazza San Francesco alla Rocca","42.42129,12.104662",SI
BASILICA DI SAN CESAREO DE APPIA,Via di Porta S. Sebastiano,Roma (RM) - 00179, ,,"Italia, Roma (RM) - 00179, Via di Porta S. Sebastiano","41.8765736,12.499719",SI
CAPPELLA DELL'ANNUNZIATA,"Via dell’Annunziata, 59",Cori (LT) - 04010, ,,"Italia, Cori (LT) - 04010, Via dell’Annunziata, 59","41.642322,12.907597",SI
CASTELLO DI GIULIO II,Piazza della Rocca,Roma (RM) - 00119,Municipio XIII,http://www.archeoroma.beniculturali.it,"Italia, Roma (RM) - 00119, Piazza della Rocca","41.7596893,12.3014406",SI
COMPLESSO ARCHEOLOGICO DI MALBORGHETTO,Via Malborghetto,Roma (RM) - 00188, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00188, Via Malborghetto","42.05173790000001,12.4891544",SI
COMPLESSO DI SANTA MARIA NOVA,"Via Appia Antica, 251",Roma (RM), ,http://www.viaappiaantica.com,"Italia, Roma (RM), Via Appia Antica, 251","41.8305881,12.5460584",SI
COMPLESSO DI CAPO DI BOVE,Via Appia Antica,Roma (RM) - 00178, ,http://archeoroma.beniculturali.it/,"Italia, Roma (RM) - 00178, Via Appia Antica","41.85223130000001,12.5204679",SI
COMPRENSORIO ARCHEOLOGICO DI MINTURNAE,Via Appia Km. 156,Minturno (LT) - 04026, ,,"Italia, Minturno (LT) - 04026, Via Appia Km. 156","41.2556514,13.7114855",SI
COMPRENSORIO ARCHEOLOGICO DI MINTURNAE,Via Puntafiume,Minturno (LT) - 04026, ,,"Italia, Minturno (LT) - 04026, Via Puntafiume","41.2657426,13.7443642",SI
DOMUS AUREA. Visite guidate al cantiere,via della Domus Aurea 1,Roma (RM) - 00184, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00184, via della Domus Aurea 1","41.8904937,12.4947604",SI [nota 2]
FORO ROMANO E PALATINO,Via di San Gregorio 30 e Largo della Salara Vecchia 5/6,Roma (RM) - 00184, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00184, Via di San Gregorio 30 e Largo della Salara Vecchia 5/6","41.8763539,12.6493936",SI
GALLERIA NAZIONALE D'ARTE ANTICA IN PALAZZO BARBERINI,Via Quattro Fontane,Roma (RM) - 00186, ,http://galleriabarberini.beniculturali.it/,"Italia, Roma (RM) - 00186, Via Quattro Fontane","41.9031733,12.4885479",SI
GALLERIA NAZIONALE D'ARTE ANTICA IN PALAZZO CORSINI,"Via della Lungara, 10",Roma (RM) - 00165, ,http://galleriacorsini.beniculturali.it/,"Italia, Roma (RM) - 00165, Via della Lungara, 10","41.8931988,12.4669658",SI
GALLERIA NAZIONALE D'ARTE MODERNA E CONTEMPORANEA,"Viale delle Belle Arti, 131",Roma (RM) - 00196, ,http://www.gnam.beniculturali.it,"Italia, Roma (RM) - 00196, Viale delle Belle Arti, 131","41.9188771,12.4730658",SI
GALLERIA SPADA,Piazza Capo di Ferro 13,Roma (RM) - 00186, ,http://galleriaspada.beniculturali.it/,"Italia, Roma (RM) - 00186, Piazza Capo di Ferro 13","41.894527,12.4720778",SI
ISTITUTO NAZIONALE PER LA GRAFICA,via della stamperia,Roma (RM) - 00187, ,http://www.grafica.beniculturali.it/,"Italia, Roma (RM) - 00187, via della stamperia","41.9015318,12.4835055",SI
MONASTERO DI SAN BENEDETTO SACRO SPECO,Piazzale San Benedetto,Subiaco (RM) - Piazzale San Benedetto, ,http://www.benedettini-subiaco.org,"Italia, Subiaco (RM) - Piazzale San Benedetto, Piazzale San Benedetto","41.9246531,13.0936685",SI
MONASTERO DI SANTA SCOLASTICA,Via dei Monasteri,Subiaco (RM) - 00028, ,http://www.benedettini-subiaco.org,"Italia, Subiaco (RM) - 00028, Via dei Monasteri","41.9242634,13.1050136",SI
MONUMENTO A VITTORIO EMANUELE II (VITTORIANO),piazza venezia,Roma (RM) - 00187, ,,"Italia, Roma (RM) - 00187, piazza venezia","41.89682759999999,12.4828495",SI
MUSEO ARCHEOLOGICO DELL'AGRO FALISCO E FORTE SANGALLO,Via del Forte,Civita Castellana (VT) - 01033, ,,"Italia, Civita Castellana (VT) - 01033, Via del Forte","42.2884352,12.4101502",SI
MUSEO ARCHEOLOGICO DI VULCI,Località Vulci,Canino (VT) - 01011, ,,"Italia, Canino (VT) - 01011, Località Vulci","42.4630741,11.7507457",SI
MUSEO ARCHEOLOGICO NAZIONALE,Largo Cavour,Civitavecchia (RM) - 00053, ,,"Italia, Civitavecchia (RM) - 00053, Largo Cavour","42.0912872,11.7925171",SI
MUSEO ARCHEOLOGICO NAZIONALE,Largo Mario Moretti,Tuscania (VT) - 01017, ,,"Italia, Tuscania (VT) - 01017, Largo Mario Moretti","42.4185731,11.8703089",SI
MUSEO ARCHEOLOGICO NAZIONALE,Piazza Cavour,Tarquinia (VT) - 01016, ,,"Italia, Tarquinia (VT) - 01016, Piazza Cavour","42.2533951,11.7551343",SI
MUSEO ARCHEOLOGICO NAZIONALE,Via Vitruvio,Formia (LT) - 04023, ,http://www.archeolz.arti.beniculturali.it/index.php?it/170/museo-archeologico-nazionale-di-formia,"Italia, Formia (LT) - 04023, Via Vitruvio","41.2551384,13.6046114",SI
MUSEO ARCHEOLOGICO NAZIONALE DI PALESTRINA E SANTUARIO DELLA FORTUNA PRIMIGENIA,Piazza della Cortina,Palestrina (RM) - 00036, ,http://www.archeolz.arti.beniculturali.it/index.php?it/186/museo-archeologico-nazionale-prenestino-e-,"Italia, Palestrina (RM) - 00036, Piazza della Cortina","41.8405653,12.8925954",SI
MUSEO ARCHEOLOGICO NAZIONALE E AREA ARCHEOLOGICA,Via Flacca Km. 16.300,Sperlonga (LT) - 04029, ,,"Italia, Sperlonga (LT) - 04029, Via Flacca Km. 16.300","41.2259953,13.5152434",SI
MUSEO ARCHEOLOGICO NAZIONALE G. CARETTONI,Via di Montecassino,Cassino (FR) - 03043, ,,"Italia, Cassino (FR) - 03043, Via di Montecassino","41.4904581,13.821457",SI
MUSEO ARISTAIOS,Largo Luciano Berio,Roma (RM) - 00196, ,http://www.auditorium.com,"Italia, Roma (RM) - 00196, Largo Luciano Berio","41.9291255,12.4746934",SI
"MUSEO BONCOMPAGNI LUDOVISI PER LE ARTI DECORATIVE, COSTUME E MODA",Via Boncompagni,Roma (RM) - 00187, ,http://www.museoboncompagni.beniculturali.it/,"Italia, Roma (RM) - 00187, Via Boncompagni","41.9085263,12.4943127",SI
MUSEO DELLA VIA OSTIENSE - PORTA SAN PAOLO,"Via Raffaele Persichetti, 3 (Porta S. Paolo)",Roma (RM) - 00153, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00153, Via Raffaele Persichetti, 3 (Porta S. Paolo)","41.8770647,12.4809243",SI
MUSEO DELLE NAVI ROMANE DI NEMI,Via del Tempio di Diana,Nemi (RM) - 00040, ,http://www.museonaviromane.it/,"Italia, Nemi (RM) - 00040, Via del Tempio di Diana","41.7259088,12.7063384",SI
MUSEO E GALLERIA BORGHESE,Piazzale Scipione Borghese,Roma (RM) - 00197, ,http://galleriaborghese.beniculturali.it/,"Italia, Roma (RM) - 00197, Piazzale Scipione Borghese","41.9144987,12.492433",SI(prenotazione obbligatoria tel. 06 32810)
MUSEO HENDRIK CHRISTIAN ANDERSEN,Via P. S. Mancini,Roma (RM) - 00196, ,http://www.museoandersen.beniculturali.it/,"Italia, Roma (RM) - 00196, Via P. S. Mancini","41.9141221,12.4730437",SI
MUSEO MARIO PRAZ,"Via Zanardelli, 1 Palazzo Primoli",Roma (RM) -, ,http://www.museopraz.beniculturali.it/,"Italia, Roma (RM) -, Via Zanardelli, 1 Palazzo Primoli","41.9018621,12.4719266",SI
MUSEO NAZIONALE ARCHEOLOGICO CERITE,Piazza S. Maria,Cerveteri (RM) - 00052, ,http://www.eterna.it/cerveteri/etrus42.htm,"Italia, Cerveteri (RM) - 00052, Piazza S. Maria","41.99905529999999,12.0995924",SI
MUSEO NAZIONALE D'ARTE ORIENTALE,via merulana,Roma (RM) - 00185, ,http://www.museorientale.beniculturali.it,"Italia, Roma (RM) - 00185, via merulana","41.8910358,12.5024458",SI
MUSEO NAZIONALE DEL PALAZZO DI VENEZIA,"Via del Plebiscito, 118",Roma (RM) - 00186, ,http://museopalazzovenezia.beniculturali.it/,"Italia, Roma (RM) - 00186, Via del Plebiscito, 118","41.8964079,12.4810964",SI
MUSEO NAZIONALE DELL'ALTO MEDIOEVO,"Viale Lincoln, 3",Roma (RM) - 00144, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00144, Viale Lincoln, 3","41.8326711,12.4722505",SI
MUSEO NAZIONALE DELLE ARTI E TRADIZIONI POPOLARI,Piazza Guglielmo Marconi,Roma (RM) - 00144,EUR,http://www.idea.mat.beniculturali.it,"Italia, Roma (RM) - 00144, Piazza Guglielmo Marconi","41.8340983,12.4693171",SI
MUSEO NAZIONALE DI CASTEL SANT'ANGELO,Lungotevere Castello,Roma (RM) - 00193, ,http://castelsantangelo.beniculturali.it/,"Italia, Roma (RM) - 00193, Lungotevere Castello","41.9025166,12.4663838",SI
MUSEO NAZIONALE ETRUSCO - ROCCA ALBORNOZ,Piazza della Rocca,Viterbo (VT) - 01100, ,http://www.etruriameridionale.beniculturali.it/index.php?it/153/museo-nazionale-etrusco-di-viterbo-rocca-,"Italia, Viterbo (VT) - 01100, Piazza della Rocca","42.4219872,12.105505",SI
MUSEO NAZIONALE ETRUSCO DI VILLA GIULIA,Piazzale di Villa Giulia,Roma (RM) - 00196, ,http://www.villagiulia.beniculturali.it/,"Italia, Roma (RM) - 00196, Piazzale di Villa Giulia","41.91829990000001,12.4746067",SI
"MUSEO NAZIONALE PREISTORICO ED ETNOGRAFICO \""L. PIGORINI\","Piazzale Guglielmo Marconi, 14",Roma (RM) - 00144, ,http://www.pigorini.beniculturali.it/,"Italia, Roma (RM) - 00144, Piazzale Guglielmo Marconi, 14","41.8344805,12.4701382",SI
MUSEO NAZIONALE ROMANO - CRYPTA BALBI,Via Botteghe Oscure,Roma (RM) - 00186, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00186, Via Botteghe Oscure","41.8950064,12.4777076",SI
MUSEO NAZIONALE ROMANO - PALAZZO ALTEMPS,Via Sant’ Apollinare,Roma (RM) - 00186, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00186, Via Sant’ Apollinare","41.9009317,12.4732596",SI
MUSEO NAZIONALE ROMANO - PALAZZO MASSIMO,Largo di Villa Peretti,Roma (RM) - 00186, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 00186, Largo di Villa Peretti","41.9017737,12.49802",SI
MUSEO NAZIONALE ROMANO - TERME DI DIOCLEZIANO,"Via Enrico de Nicola, 79",Roma (RM) - 33051, ,http://archeoroma.beniculturali.it,"Italia, Roma (RM) - 33051, Via Enrico de Nicola, 79","41.7768801,12.613333",SI
"NECROPOLI \""MADONNA DELL'OLIVO\", ,Tuscania (VT) - 01017,Madonna dell’Olivo,,"Italia, Tuscania (VT) - 01017,  ","42.4185731,11.8703089",SI
NECROPOLI DEI MONTEROZZI DI TARQUINIA,"Strada Provinciale Monterozzi - Marina, V. Ripagretta",Tarquinia (VT) - 01016, ,http://www.etruriameridionale.beniculturali.it/index.php?it/155/necropoli-dei-monterozzi-di-tarquinia,"Italia, Tarquinia (VT) - 01016, Strada Provinciale Monterozzi - Marina, V. Ripagretta","42.26680229999999,11.7570037",SI
NECROPOLI DELLA BANDITACCIA,Piazza Mario Moretti (già della Necropoli),Cerveteri (RM) - 00052, ,http://www.cerveteri.beniculturali.it/index.php?it/116/la-necropoli-della-banditaccia,"Italia, Cerveteri (RM) - 00052, Piazza Mario Moretti (già della Necropoli)","42.00592220000001,12.1004901",SI
NECROPOLI DI VILLA DORIA PAMPHILJ,Via Aurelia Antica,Roma (RM), ,http://archeoroma.beniculturali.it/siti_archeologici/suburbio/villa_doria_pamphilj,"Italia, Roma (RM), Via Aurelia Antica","41.8900857,12.4354793",SI
